Vendor_ID,Vendor_Name,Location,Contact_Number
V001,Shakti Engineering Works,Ujjain,9876543210
V002,Vardhman Enterprises,Dewas,9123456780
V003,Bharat Traders,Pune,9988776655
V004,Shree Ganesh Suppliers,Secunderabad,9876501234
V005,R.K. Engineering Co.,Thiruvananthapuram,9765432109
V006,Gupta Industrial Services,Dhule,9823456781
V007,Krishna Electricals,Ratlam,9811122233
V008,Perfect Fasteners Pvt. Ltd.,Muzaffarnagar,9876512345
V009,Pioneer Steel Works,Morena,9765001122
V010,Anmol Enterprises,Mango,9898989898
V011,Balaji Engineering Works,Serampore,9876001234
V012,National Hardware Stores,Bardhaman,9833445566
V013,Reliable Engineering Co.,Rourkela,9123004455
V014,Rajendra Traders,Malegaon,9876123450
V015,Sunrise Equipments,Jamalpur,9765112233
V016,Deepak Mechanical Works,Sagar,9822223344
V017,Metro Industrial Suppliers,Kishanganj,9811234567
V018,Ashok Engineering Co.,Ambattur,9876332211
V019,Om Sai Enterprises,Tinsukia,9765223344
V020,United Engineering Works,Jhansi,9898001122
V021,Pragati Industries,Jamnagar,9876445566
V022,Shiv Shakti Traders,Karimnagar,9833004455
V023,Alpha Engineering Services,Gaya,9123112233
V024,Golden Hardware & Tools,Kanpur,9876554433
V025,Kalyan Steel Suppliers,Ambattur,9765332211
V026,Modern Engineering Works,Jalandhar,9822334455
V027,Starline Traders,Kolkata,9811345678
V028,Apex Industrial Stores,Ambattur,9876667788
V029,Classic Engineering Co.,Dhanbad,9765445566
V030,Ambika Enterprises,Bikaner,9898112233
V031,Victory Tools & Fasteners,Gandhinagar,9876778899
V032,Galaxy Engineering Works,Rajahmundry,9833112233
V033,Standard Hardware Stores,Gopalpur,9123223344
V034,Radha Krishna Enterprises,Sagar,9876889900
V035,Supreme Industrial Services,Tinsukia,9765554433
V036,New India Traders,North Dumdum,9822445566
V037,Vishwakarma Engineering Works,Gandhidham,9811456789
V038,Powertech Suppliers,Hosur,9876990011
V039,Omkar Enterprises,Bhagalpur,9765667788
V040,Allied Engineering Co.,Danapur,9898223344
V041,Precision Steel & Hardware,Anantapur,9877001122
V042,North Star Engineering Works,Nellore,9833223344
V043,Everest Traders,Bhalswa Jahangir Pur,9123332211
V044,Royal Industrial Suppliers,North Dumdum,9877112233
V045,Dynamic Engineering Works,Muzaffarnagar,9765778899
V046,Prakash Enterprises,Gandhidham,9822556677
V047,Elite Engineering Co.,Danapur,9811567890
V048,Global Traders & Suppliers,Howrah,9877223344
V049,Mangal Engineering Works,Sirsa,9765889900
V050,Triveni Enterprises,Udaipur,9898332211
V051,Advance Mechanical Works,Malegaon,9877334455
V052,Raj Industries,Yamunanagar,9833332211
V053,Harmony Engineering Works,Firozabad,9123445566
V054,Delta Hardware Stores,Amaravati,9877445566
V055,Brightline Traders,Gandhinagar,9765990011
V056,Satyam Engineering Co.,Warangal,9822667788
V057,Universal Industrial Suppliers,Kalyan-Dombivli,9811678901
V058,Accurate Engineering Works,Chittoor,9877556677
V059,Zenith Enterprises,Jalgaon,9766001122
V060,Eastern Engineering Works,Bhiwani,9898445566
